run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.384096,0.1536,0.060928,0.06,0.106496,0.085312,0.081824,0.028736,0.960992,1.11294
2,0.386752,0.14992,0.061824,0.059552,0.104448,0.086016,0.081888,0.029024,0.959424,1.3304
3,0.385728,0.1552,0.06144,0.06144,0.104448,0.085312,0.08176,0.029664,0.964992,1.12206
4,0.384896,0.153408,0.06272,0.061024,0.104384,0.083968,0.08192,0.0304,0.96272,1.11893
5,0.384672,0.1536,0.06144,0.061376,0.107072,0.087488,0.082112,0.032288,0.970048,1.12978
6,0.38688,0.15488,0.061024,0.062624,0.1048,0.086016,0.083968,0.030048,0.97024,1.12896
7,0.384832,0.15456,0.061312,0.06128,0.104448,0.085856,0.083904,0.030048,0.96624,1.13185
8,0.38672,0.15184,0.067584,0.060416,0.104352,0.087552,0.082144,0.03072,0.971328,1.12959
9,0.385248,0.153696,0.061696,0.061216,0.104032,0.084288,0.08192,0.03008,0.962176,1.1204
10,0.384704,0.151712,0.061408,0.060928,0.104128,0.086624,0.08192,0.029152,0.960576,1.11812
11,0.383744,0.153824,0.061376,0.061664,0.103808,0.084512,0.08208,0.028864,0.959872,1.11891
12,0.386624,0.152544,0.059424,0.061312,0.100352,0.083968,0.1352,0.026336,1.00576,2.92009
13,0.533408,0.153376,0.059552,0.06144,0.104384,0.085632,0.082112,0.03072,1.11062,1.76618
14,0.386432,0.154944,0.061472,0.061312,0.104736,0.086752,0.08176,0.030048,0.967456,1.12833
15,0.385408,0.154592,0.06144,0.06096,0.103424,0.086816,0.08208,0.03072,0.96544,1.12527
16,0.385568,0.153632,0.06272,0.0616,0.104384,0.084,0.085376,0.028928,0.966208,1.12553
17,0.38368,0.154944,0.060992,0.059872,0.10512,0.086144,0.082976,0.030976,0.964704,1.12792
18,0.385728,0.1536,0.061824,0.0616,0.104384,0.094112,0.08192,0.03072,0.973888,1.13033
19,0.383712,0.1536,0.061152,0.061216,0.104448,0.083968,0.083648,0.033056,0.9648,1.12332
20,0.385984,0.15328,0.062912,0.061504,0.104416,0.084128,0.082496,0.03072,0.96544,1.12236
21,0.384096,0.154048,0.06144,0.06144,0.10416,0.086016,0.08192,0.03072,0.96384,1.11974
22,0.38544,0.15328,0.061184,0.060896,0.10432,0.08416,0.081856,0.029472,0.960608,1.12003
23,0.384256,0.1568,0.061248,0.061536,0.104448,0.084384,0.082304,0.032256,0.967232,1.12416
24,0.386752,0.152416,0.06032,0.06144,0.104448,0.085248,0.082496,0.030048,0.963168,1.12652
25,0.386016,0.1552,0.061664,0.05984,0.10432,0.084288,0.08192,0.03072,0.963968,2.41248
26,0.383968,0.151968,0.062208,0.06144,0.104416,0.084896,0.08192,0.029984,0.9608,1.1231
27,0.385728,0.156032,0.06144,0.060416,0.103008,0.086592,0.08368,0.03216,0.969056,1.13752
28,0.387072,0.373728,0.063392,0.06144,0.104448,0.086208,0.083328,0.031008,1.19062,1.35497
29,0.387136,0.154976,0.061344,0.06144,0.104448,0.083968,0.083936,0.029664,0.966912,1.12649
30,0.387648,0.15232,0.06144,0.06112,0.104032,0.085216,0.080672,0.03072,0.963168,1.12107
31,0.38672,0.153536,0.060384,0.061984,0.106176,0.085056,0.082176,0.03072,0.966752,1.12579
32,0.387072,0.154944,0.062592,0.060768,0.104416,0.083968,0.083008,0.029536,0.966304,1.12528
33,0.385376,0.155584,0.061216,0.061248,0.104448,0.086016,0.080768,0.029472,0.964128,1.12296
34,0.38704,0.15456,0.06144,0.06144,0.104448,0.084416,0.081792,0.029568,0.964704,1.12365
35,0.385472,0.154976,0.062144,0.06144,0.102752,0.085696,0.08192,0.03056,0.96496,1.12251
36,0.385184,0.15344,0.062464,0.060352,0.104448,0.083968,0.083168,0.0288,0.961824,1.12323
37,0.38672,0.156224,0.061248,0.060928,0.104544,0.08624,0.082304,0.030144,0.968352,1.12642
38,0.386976,0.1536,0.06144,0.122656,0.100352,0.08912,0.082336,0.03072,1.0272,2.58308
39,0.386624,0.154848,0.062144,0.062624,0.102496,0.087104,0.082496,0.030176,0.968512,1.12639
40,0.58112,0.152608,0.061824,0.06128,0.104448,0.087968,0.086016,0.032288,1.16755,1.33307
41,0.387392,0.1536,0.06144,0.061984,0.1024,0.084256,0.08176,0.030784,0.963616,1.13568
42,0.384544,0.15296,0.062752,0.060256,0.104448,0.087872,0.081824,0.02896,0.963616,1.12106
43,0.3864,0.152,0.061408,0.06064,0.103488,0.085888,0.081664,0.029024,0.960512,1.11575
44,0.38624,0.15168,0.06096,0.060064,0.104448,0.083968,0.083232,0.027296,0.957888,1.11284
45,0.383648,0.152544,0.06128,0.0608,0.10336,0.085312,0.082048,0.027232,0.956224,1.11009
46,0.385536,0.15184,0.06144,0.06144,0.104448,0.086016,0.081376,0.028928,0.961024,1.11566
47,0.38608,0.153536,0.061344,0.061408,0.103936,0.084064,0.081664,0.029088,0.96112,1.11369
48,0.386432,0.150304,0.06144,0.060864,0.104096,0.084288,0.082432,0.028096,0.957952,1.11168
49,0.384544,0.151776,0.061344,0.061344,0.103712,0.085632,0.082112,0.030272,0.960736,1.1127
50,0.386016,0.151616,0.060416,0.061344,0.103744,0.085952,0.080768,0.028672,0.958528,1.11222
51,0.384576,0.153536,0.059904,0.06144,0.10256,0.0856,0.080992,0.026624,0.955232,1.59686
52,0.732672,0.152736,0.060768,0.060032,0.104448,0.085184,0.08224,0.028928,1.30701,1.9225
53,0.38624,0.161344,0.059552,0.061216,0.103872,0.084096,0.081792,0.030176,0.968288,1.12736
54,0.385504,0.151552,0.060096,0.06144,0.104448,0.085952,0.08192,0.028672,0.959584,1.1167
55,0.386176,0.1504,0.06176,0.06144,0.104288,0.087264,0.086016,0.03072,0.968064,1.34149
56,0.386816,0.154272,0.063264,0.06144,0.104448,0.085344,0.082464,0.030304,0.968352,1.12875
57,0.384064,0.154976,0.060288,0.061984,0.102592,0.086048,0.08304,0.02944,0.962432,1.12118
58,0.384704,0.155648,0.061536,0.06,0.104704,0.084608,0.0824,0.030432,0.964032,1.12271
59,0.385664,0.1536,0.061408,0.06112,0.104032,0.083904,0.084224,0.029536,0.963488,1.12151
60,0.385728,0.15344,0.061056,0.06144,0.10448,0.086048,0.083648,0.028672,0.964512,1.12291
61,0.3848,0.155648,0.061888,0.059552,0.104448,0.087392,0.082592,0.028672,0.964992,1.12289
62,0.385664,0.152224,0.061536,0.061376,0.104448,0.087552,0.081632,0.029024,0.963456,1.1219
63,0.383904,0.154048,0.06128,0.060608,0.102752,0.08272,0.081792,0.029312,0.956416,1.11579
64,0.383264,0.15312,0.059712,0.061408,0.10432,0.084,0.081888,0.028672,0.956384,1.12147
65,0.383744,0.154496,0.061856,0.060032,0.1,0.087968,0.08192,0.028672,0.958688,2.93801
66,0.38656,0.152032,0.28256,0.061408,0.104224,0.084448,0.082048,0.030496,1.18378,1.34784
67,0.384192,0.1536,0.06144,0.06144,0.104448,0.08784,0.081696,0.030304,0.96496,1.12207
68,0.386368,0.152128,0.062656,0.06,0.104448,0.08416,0.081984,0.029376,0.96112,1.11871
69,0.37904,0.152256,0.06144,0.059488,0.10256,0.086016,0.084,0.029184,0.953984,1.11245
70,0.380448,0.1576,0.060704,0.059552,0.104256,0.086272,0.08192,0.03008,0.960832,1.11929
71,0.381664,0.157088,0.060832,0.059968,0.103232,0.083968,0.081792,0.030528,0.959072,1.11828
72,0.38176,0.151552,0.062144,0.060896,0.104416,0.083968,0.081728,0.028832,0.955296,1.11279
73,0.380224,0.1536,0.059392,0.06064,0.102464,0.083904,0.080736,0.028544,0.949504,1.1113
74,0.380768,0.150176,0.060832,0.060064,0.103936,0.084448,0.080256,0.028672,0.949152,1.10288
75,0.381312,0.1512,0.059808,0.059392,0.1024,0.090112,0.08192,0.028672,0.954816,1.10829
76,0.379488,0.151744,0.059488,0.061216,0.10432,0.083424,0.081888,0.027552,0.94912,1.10806
77,0.379584,0.151456,0.060992,0.05968,0.1024,0.083968,0.083968,0.02848,0.950528,1.1047
78,0.3816,0.150368,0.059552,0.0592,0.100352,0.083968,0.08128,0.299552,1.21587,2.88389
79,0.503904,0.151552,0.059392,0.06064,0.099232,0.085952,0.083968,0.034816,1.07946,2.13429
80,0.38032,0.15008,0.059264,0.059424,0.104224,0.084096,0.081824,0.02864,0.947872,1.31791
81,0.379872,0.149888,0.061056,0.05984,0.1024,0.083968,0.081056,0.028512,0.946592,1.10332
82,0.381504,0.149536,0.06112,0.060736,0.104064,0.084288,0.080064,0.032768,0.95408,1.10632
83,0.37968,0.151552,0.059392,0.060928,0.104096,0.086144,0.081408,0.029216,0.952416,1.10839
84,0.38,0.155296,0.059712,0.059392,0.10368,0.083264,0.082464,0.030016,0.953824,1.1125
85,0.378976,0.15168,0.059616,0.060832,0.102816,0.083648,0.080352,0.028672,0.946592,1.10187
86,0.377952,0.149696,0.06112,0.059424,0.102528,0.084928,0.081824,0.028128,0.9456,1.09937
87,0.378432,0.151968,0.06048,0.05968,0.103104,0.083904,0.080384,0.028672,0.946624,1.10075
88,0.379488,0.150176,0.06064,0.059968,0.103776,0.084,0.08224,0.028192,0.94848,1.10207
89,0.379424,0.151712,0.059424,0.060512,0.103744,0.082592,0.081856,0.027904,0.947168,1.09973
90,0.379232,0.158368,0.060576,0.059392,0.100608,0.083936,0.079872,0.03056,0.952544,2.76958
91,0.380736,0.150528,0.059392,0.0608,0.102816,0.083616,0.080544,0.028672,0.947104,1.10431
92,0.382944,0.148992,0.05984,0.0608,0.103232,0.085184,0.081792,0.028672,0.951456,1.31705
93,0.380384,0.150464,0.060768,0.060128,0.1024,0.083968,0.08192,0.028608,0.94864,1.10239
94,0.381888,0.149504,0.061088,0.059968,0.104448,0.0848,0.08144,0.02832,0.951456,1.1051
95,0.380704,0.158304,0.061376,0.059616,0.103424,0.083808,0.08192,0.030336,0.959488,1.11627
96,0.381632,0.151008,0.067392,0.063488,0.102944,0.086016,0.083936,0.029632,0.966048,1.12932
97,0.38208,0.16608,0.06288,0.062176,0.104704,0.088064,0.085952,0.035936,0.987872,1.18097
98,0.381344,0.152864,0.059648,0.061312,0.106496,0.086016,0.083936,0.03312,0.964736,1.15455
99,0.381408,0.155392,0.0632,0.061824,0.105792,0.086496,0.084672,0.034912,0.973696,1.16434
100,0.382016,0.15408,0.062976,0.061856,0.106496,0.08832,0.086016,0.03888,0.98064,1.18225
