run_id,total_gpu_ms,total_cpu_ms
1,0.937472,0.942655
2,0.928992,1.154274
3,0.932608,0.939258
4,0.936704,0.942544
5,0.933376,0.939048
6,0.928224,1.287213
7,0.929792,1.184560
8,0.931360,0.936864
9,0.933824,0.940140
10,0.931840,0.937696
11,0.927872,1.381130
12,0.931424,0.937335
13,0.926464,0.932946
14,0.925696,0.931924
15,0.929408,0.935571
16,0.927072,0.933297
17,0.929664,0.936123
18,0.922784,1.145486
19,0.928128,0.934369
20,0.925568,0.931574
21,0.927872,0.934369
22,0.928128,0.933898
23,0.928160,0.934620
24,0.926976,0.932005
25,0.926368,0.932085
26,0.925472,0.931073
27,0.926016,0.931715
28,0.926080,0.932686
29,0.927552,0.932786
30,0.927744,0.933868
31,0.927552,0.933547
32,0.928064,0.934339
33,0.925024,0.930812
34,0.924480,0.930793
35,0.927744,0.933828
36,0.927488,0.933387
37,0.928224,0.934138
38,0.927744,0.933928
39,0.929280,0.934509
40,0.927744,0.933728
41,0.927744,0.933648
42,0.927232,0.932496
43,0.924256,0.930682
44,0.927392,0.932596
45,0.925984,0.932505
46,0.927200,0.932205
47,0.926080,0.932696
48,0.925600,0.931424
49,0.925440,0.930391
50,0.925888,0.932686
51,0.926720,0.932786
52,0.927744,0.933959
53,0.932128,0.938137
54,0.924320,0.930162
55,0.927744,0.933387
56,0.927008,0.932405
57,0.926400,0.932636
58,0.926944,0.932266
59,0.926528,0.932977
60,0.927744,0.933578
61,0.929600,0.934669
62,0.927552,0.933017
63,0.927936,0.933858
64,0.927680,0.933468
65,0.923712,0.930241
66,0.924640,0.930712
67,0.927744,0.933287
68,0.926912,0.932255
69,0.925920,0.931654
70,0.925568,0.931334
71,0.930336,0.936153
72,0.923712,0.930321
73,0.927424,0.932305
74,0.923936,0.929690
75,0.925760,0.932276
76,0.925984,0.931985
77,0.926208,0.931944
78,0.925888,0.932375
79,0.926720,0.931604
80,0.926656,0.932465
81,0.925696,0.931885
82,0.925696,0.931714
83,0.927680,0.932756
84,0.925824,0.932185
85,0.927904,0.933738
86,0.928192,0.934199
87,0.927424,0.933207
88,0.925920,0.931744
89,0.931328,0.937034
90,0.926368,0.932816
91,0.927744,0.932976
92,0.927424,0.932625
93,0.927936,0.933918
94,0.925664,0.931765
95,0.927712,0.932907
96,0.928768,0.933949
97,0.927872,0.933697
98,0.925696,0.932445
99,0.926656,0.932626
100,0.925696,0.931714
