iteration,gpu_time_ms,cpu_time_ms,overhead_ms
1,1.0274,1.1878,0.0000
2,0.8904,1.0121,0.0274
3,0.8843,1.0035,0.0138
4,0.8827,1.0011,0.0129
5,0.8826,1.0014,0.0184
6,0.8956,1.0135,0.0124
7,0.8927,1.0104,0.0129
8,0.8934,1.0107,0.0126
9,0.8806,1.0066,0.0117
10,0.8919,1.0183,0.0219
11,0.8902,1.0085,0.0122
12,0.8896,1.0085,0.0129
13,0.8832,1.0014,0.0126
14,0.8811,1.0016,0.0126
15,0.9887,1.1027,0.0122
16,0.8782,0.9902,0.0114
17,0.8769,0.9885,0.0095
18,0.8735,0.9859,0.0100
19,0.8740,0.9871,0.0100
20,1.2355,1.3430,0.0095
mean,0.9146,1.0341,0.0135
