run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.318464,0.131232,0.05264,0.052544,0.094144,0.077088,0.074944,0.028768,0.829824,0.978021
2,0.318656,0.131072,0.053152,0.051712,0.092448,0.077248,0.073728,0.027616,0.825632,0.98254
3,0.31792,0.131616,0.052832,0.051552,0.094208,0.075776,0.074496,0.028672,0.827072,0.976539
4,0.317568,0.13248,0.052128,0.05168,0.09216,0.07712,0.075168,0.024352,0.822656,1.14033
5,0.319424,0.184224,0.053024,0.053024,0.094432,0.0768,0.073984,0.028,0.882912,1.55251
6,0.318592,0.131072,0.052864,0.053024,0.093664,0.077792,0.073728,0.026816,0.827552,0.977901
7,0.317856,0.131072,0.0528,0.0512,0.093504,0.077056,0.075008,0.027424,0.82592,0.978432
8,0.317472,0.131072,0.057536,0.051648,0.093408,0.076928,0.074848,0.027904,0.830816,0.977951
9,0.317888,0.131072,0.05312,0.051776,0.092608,0.075776,0.07376,0.027904,0.823904,0.975226
10,0.317952,0.131392,0.051488,0.05264,0.092064,0.077824,0.073728,0.026624,0.823712,0.974484
11,0.317536,0.130336,0.051648,0.052384,0.093824,0.075776,0.073728,0.027872,0.823104,1.36173
12,0.318336,0.131072,0.053248,0.051392,0.093984,0.07856,0.078208,0.027488,0.832288,1.58956
13,0.316896,0.131392,0.051936,0.051296,0.09424,0.075872,0.073696,0.028192,0.82352,0.973753
14,0.31968,0.1312,0.052896,0.051968,0.093984,0.076576,0.073536,0.028096,0.827936,0.974765
15,0.318432,0.131296,0.051392,0.052672,0.093088,0.075776,0.073728,0.027456,0.82384,0.973633
16,0.319104,0.131104,0.053248,0.051712,0.094208,0.077536,0.07472,0.027936,0.829568,0.978242
17,0.317664,0.131296,0.053248,0.051776,0.093024,0.075776,0.073792,0.02704,0.823616,0.974284
18,0.319168,0.130528,0.052096,0.052704,0.093312,0.077792,0.073568,0.027296,0.826464,0.974244
19,0.317696,0.129504,0.24096,0.051488,0.090624,0.075616,0.074368,0.027936,1.00819,2.0522
20,0.319072,0.129632,0.053248,0.051776,0.092256,0.077664,0.074496,0.026624,0.824768,0.978312
21,0.31824,0.131328,0.051808,0.051488,0.093056,0.077472,0.074528,0.027296,0.825216,0.974364
22,0.318848,0.131648,0.053056,0.05216,0.093376,0.076736,0.07344,0.02752,0.826784,0.977099
23,0.3184,0.131744,0.051808,0.052416,0.094208,0.076992,0.073824,0.028096,0.827488,0.975898
24,0.317696,0.130656,0.052896,0.052896,0.092992,0.07664,0.074112,0.026976,0.824864,0.980576
25,0.319232,0.131232,0.052544,0.052896,0.094176,0.075776,0.073728,0.027968,0.827552,1.17817
26,0.517536,0.13152,0.052128,0.052608,0.094016,0.076256,0.074912,0.028448,1.02742,1.68445
27,0.319104,0.131328,0.053568,0.054304,0.09648,0.077728,0.074304,0.027072,0.833888,1.16511
28,0.317984,0.129024,0.05424,0.052064,0.09376,0.076512,0.074464,0.027072,0.82512,0.975276
29,0.319936,0.131072,0.052864,0.052736,0.094112,0.07712,0.073952,0.028416,0.830208,0.977029
30,0.31936,0.1312,0.052704,0.052096,0.092864,0.080576,0.073728,0.027104,0.829632,0.977791
31,0.317664,0.13232,0.05312,0.05312,0.094432,0.07696,0.075232,0.027488,0.830336,0.976348
32,0.317856,0.13104,0.052608,0.052736,0.094272,0.076992,0.075328,0.027584,0.828416,0.975085
33,0.317408,0.13136,0.05136,0.051296,0.093728,0.07712,0.075584,0.026816,0.824672,0.973733
34,0.31872,0.130336,0.049216,0.052704,0.090208,0.076288,0.072512,0.026848,0.816832,1.85766
35,0.3168,0.132576,0.05216,0.052384,0.094208,0.076064,0.07376,0.027424,0.825376,0.973973
36,0.319424,0.130752,0.05312,0.051712,0.09216,0.075872,0.073728,0.026688,0.823456,0.973733
37,0.318528,0.131552,0.053024,0.051712,0.09264,0.075776,0.074944,0.028416,0.826592,0.981988
38,0.317984,0.131488,0.051776,0.052352,0.09392,0.076384,0.073888,0.028512,0.826304,0.983231
39,0.320928,0.13104,0.051872,0.0512,0.093696,0.076064,0.074208,0.027712,0.82672,0.977931
40,0.318464,0.131008,0.052512,0.052352,0.094176,0.075392,0.080128,0.028288,0.83232,1.17875
41,0.511456,0.13312,0.051712,0.051488,0.093824,0.076672,0.073728,0.027872,1.01987,1.67478
42,0.317952,0.13136,0.053344,0.053312,0.097184,0.0776,0.0736,0.028,0.832352,1.16381
43,0.317504,0.131232,0.053152,0.0512,0.09472,0.07616,0.073728,0.027712,0.825408,0.980657
44,0.319296,0.130784,0.053248,0.051648,0.09232,0.075776,0.07488,0.027936,0.825888,0.981067
45,0.31712,0.131072,0.052576,0.052704,0.093984,0.076128,0.073952,0.027392,0.824928,0.97207
46,0.320064,0.131072,0.052416,0.053056,0.09264,0.076864,0.073952,0.027904,0.827968,0.975957
47,0.319104,0.131072,0.052832,0.05248,0.094208,0.07632,0.073952,0.029824,0.829792,0.977039
48,0.31712,0.130976,0.051872,0.05248,0.093952,0.076224,0.0744,0.028992,0.826016,0.974805
49,0.317376,0.130528,0.051616,0.050624,0.091328,0.075744,0.073728,0.026944,0.817888,2.04648
50,0.318816,0.130912,0.05248,0.052896,0.093152,0.077152,0.073824,0.02816,0.827392,0.975526
51,0.3184,0.131072,0.052448,0.052384,0.094208,0.075776,0.075008,0.028032,0.827328,0.974515
52,0.31888,0.129888,0.052256,0.052832,0.093024,0.075968,0.07408,0.0288,0.825728,0.97725
53,0.318144,0.131488,0.05168,0.052256,0.094208,0.076128,0.073728,0.026848,0.82448,0.975085
54,0.317312,0.131072,0.053344,0.053248,0.092224,0.077568,0.074688,0.028672,0.828128,0.979524
55,0.31856,0.13312,0.05632,0.055296,0.09824,0.282016,0.083488,0.039104,1.06614,1.24388
56,0.49344,0.131072,0.052896,0.059392,0.096256,0.075776,0.080576,0.03712,1.02653,1.89602
57,0.318528,0.135808,0.055296,0.055264,0.098432,0.076096,0.073824,0.028672,0.84192,1.00791
58,0.319648,0.131264,0.052928,0.054432,0.093184,0.077504,0.073696,0.027936,0.830592,0.979704
59,0.31904,0.131712,0.053152,0.051488,0.09408,0.076192,0.074688,0.0272,0.827552,0.975256
60,0.319744,0.130272,0.058912,0.056,0.097632,0.083424,0.079872,0.034464,0.86032,1.03271
61,0.318624,0.132096,0.052992,0.052192,0.094592,0.076768,0.074496,0.02704,0.8288,0.980786
62,0.31936,0.131072,0.052736,0.052928,0.092864,0.07616,0.073728,0.027136,0.825984,0.984794
63,0.317472,0.132,0.053248,0.051648,0.094112,0.075776,0.075488,0.0272,0.826944,0.974424
64,0.317824,0.129024,0.05104,0.049536,0.090464,0.075776,0.073888,0.026912,0.814464,1.96092
65,0.316768,0.13296,0.051744,0.051808,0.093632,0.07696,0.074976,0.030176,0.829024,0.976238
66,0.318048,0.131072,0.052736,0.052032,0.091808,0.076576,0.073728,0.028672,0.824672,0.975397
67,0.321152,0.131232,0.052768,0.05232,0.094208,0.075776,0.073824,0.030048,0.831328,0.980696
68,0.318048,0.131072,0.052288,0.052544,0.094208,0.075808,0.075008,0.02816,0.827136,0.976679
69,0.317536,0.130016,0.053248,0.0512,0.094144,0.076256,0.074272,0.031744,0.828416,0.98297
70,0.31952,0.129472,0.051872,0.053248,0.09248,0.078912,0.073728,0.027808,0.82704,1.38992
71,0.51408,0.129856,0.0512,0.05312,0.09424,0.07712,0.074688,0.029888,1.02419,1.57443
72,0.319328,0.130112,0.053024,0.051936,0.092832,0.07616,0.075296,0.027616,0.826304,0.980887
73,0.3176,0.132032,0.052608,0.052608,0.094208,0.075808,0.07408,0.02736,0.826304,0.981929
74,0.317792,0.131136,0.051584,0.052416,0.094048,0.077472,0.072704,0.026624,0.823776,0.973913
75,0.318464,0.131232,0.052352,0.052224,0.094208,0.075456,0.07264,0.027744,0.82432,0.973132
76,0.316288,0.13104,0.052608,0.052608,0.0936,0.077632,0.07424,0.026624,0.82464,0.972341
77,0.317504,0.131296,0.053088,0.051808,0.093952,0.076864,0.074944,0.028128,0.827584,0.973793
78,0.31856,0.132128,0.052864,0.052224,0.092672,0.076416,0.073728,0.026816,0.825408,0.976779
79,0.40272,0.201408,0.053248,0.053248,0.094144,0.076192,0.074176,0.028672,0.983808,1.65116
80,0.318432,0.131136,0.05312,0.052992,0.092736,0.07616,0.07424,0.02704,0.825856,0.978883
81,0.318304,0.131168,0.052,0.052864,0.09392,0.075872,0.074816,0.028672,0.827616,0.97698
82,0.318208,0.131136,0.052032,0.052864,0.093664,0.077632,0.072448,0.028544,0.826528,0.976588
83,0.317888,0.13296,0.052736,0.052832,0.09472,0.076064,0.073728,0.028704,0.829632,0.980626
84,0.317952,0.131072,0.051584,0.05232,0.092576,0.075776,0.073728,0.026624,0.821632,0.981056
85,0.316864,0.130144,0.055136,0.052064,0.095872,0.077216,0.075072,0.0248,0.827168,1.68605
86,0.423904,0.13152,0.051776,0.052704,0.093408,0.265088,0.074592,0.028608,1.1216,1.27554
87,0.319616,0.130848,0.052128,0.053248,0.093856,0.077184,0.074816,0.02832,0.830016,0.978712
88,0.31648,0.131008,0.053248,0.05136,0.093696,0.076608,0.074304,0.02736,0.824064,0.973282
89,0.317632,0.131648,0.051744,0.0512,0.095072,0.075776,0.073696,0.02784,0.824608,0.974144
