run_id,total_gpu_ms,total_cpu_ms
1,0.796672,0.802020
2,0.792576,0.797982
3,0.794880,0.800457
4,0.792800,0.798954
5,0.794624,0.800747
6,0.797536,0.984263
7,0.794816,0.800407
8,0.792576,0.797602
9,0.794624,0.800567
10,0.792480,0.797902
11,0.796000,0.801518
12,0.792576,0.798193
13,0.793120,0.799906
14,0.792000,0.796690
15,0.792640,0.798243
16,0.793152,0.798784
17,0.795232,0.801378
18,0.792576,0.798523
19,0.794624,0.800087
20,0.792576,0.798634
21,0.795712,0.800798
22,0.794528,0.799405
23,0.794784,0.800457
24,0.792736,0.798503
25,0.794624,0.800547
26,0.794624,0.800657
27,0.801024,0.806899
28,0.793728,0.800247
29,0.795776,0.800577
30,0.794560,0.799535
31,0.794560,0.800356
32,0.792576,0.798934
33,0.794624,0.799515
34,0.792832,0.798604
35,0.794624,0.800477
36,0.791584,0.797050
37,0.796576,0.801569
38,0.792576,0.798954
39,0.794528,0.799505
40,0.790528,0.796480
41,0.793792,0.799415
42,0.793056,0.798593
43,0.795424,0.801248
44,0.792576,0.798102
45,0.792832,0.798944
46,0.790528,0.796629
47,0.793536,0.799986
48,0.793824,0.798913
49,0.795488,0.801609
50,0.792576,0.797802
51,0.796032,0.801529
52,0.792704,0.798633
53,0.795360,0.800828
54,0.793024,0.798553
55,0.794688,0.800126
56,0.792512,0.798022
57,0.795104,0.800637
58,0.793088,0.798804
59,0.794624,0.800116
60,0.792832,0.798443
61,0.792896,0.799275
62,0.794560,0.799666
63,0.793728,0.799254
64,0.792544,0.798022
65,0.794624,0.799936
66,0.793792,0.799245
67,0.795456,0.800948
68,0.801184,0.807169
69,0.796512,0.801248
70,0.794656,0.800136
71,0.794816,0.800327
72,0.793216,0.798924
73,0.794624,0.800296
74,0.795904,0.801488
75,0.796480,0.801479
76,0.792000,0.797562
77,0.795264,0.801098
78,0.792576,0.798673
79,0.794624,0.800166
80,0.792352,0.798002
81,0.794560,0.799486
82,0.790848,0.797101
83,0.795712,0.800788
84,0.794464,0.799695
85,0.794304,0.799405
86,0.793280,0.798944
87,0.794368,0.799956
88,0.794400,0.800046
89,0.803104,0.808893
90,0.793216,0.799455
91,0.796896,0.802501
92,0.792576,0.798213
93,0.796672,0.802230
94,0.794624,0.799885
95,0.795968,0.801519
96,0.794400,0.799646
97,0.794624,0.800086
98,0.792576,0.798243
99,0.794624,0.800617
100,0.793664,0.798553
