run_id,total_gpu_ms,total_cpu_ms
1,0.804864,0.813482
2,0.800128,0.806167
3,0.803584,0.810626
4,0.799168,0.805567
5,0.802368,0.808051
6,0.800768,0.806919
7,0.800544,0.806227
8,0.800768,1.099019
9,0.799936,1.014790
10,0.805088,0.810876
11,0.858048,1.157399
12,0.800224,1.036291
13,0.803232,0.810265
14,0.802208,0.807250
15,0.802816,0.808051
16,0.800640,0.806459
17,0.800768,0.806709
18,0.800896,0.806478
19,0.800768,0.806729
20,0.804000,0.810676
21,0.799328,0.804975
22,0.800768,0.805897
23,0.800928,0.806528
24,0.798720,0.804274
25,0.799424,0.805917
26,0.800768,0.807150
27,0.802816,0.810095
28,0.800448,0.985535
29,0.799040,1.007757
30,0.800640,1.200480
31,0.802336,1.241237
32,0.800384,0.978542
33,0.802080,0.807289
34,0.802592,0.807750
35,0.800000,0.805246
36,0.802816,0.808201
37,0.798720,0.804365
38,0.799744,0.805306
39,0.800896,0.806558
40,0.800768,0.806348
41,0.800000,0.804806
42,0.800384,0.805917
43,0.800768,0.806699
44,0.800064,0.805396
45,0.800768,0.806118
46,0.800704,0.806237
47,0.800800,1.005302
48,0.804928,1.012887
49,0.800768,1.198576
50,0.800768,1.236558
51,0.800480,0.978271
52,0.802688,0.807861
53,0.802496,0.807591
54,0.802144,0.807159
55,0.801792,0.806839
56,0.798784,0.805256
57,0.800352,0.805747
58,0.800288,0.806037
59,0.798720,0.804625
60,0.799456,0.805467
61,0.800544,0.806398
62,0.800480,0.805997
63,0.800768,0.806128
64,0.799552,0.805136
65,0.802208,0.808612
66,0.800576,1.003790
67,0.809504,1.019068
68,0.800768,1.194840
69,0.801632,1.243481
70,0.802144,0.979253
71,0.802720,0.808081
72,0.801888,0.806809
73,0.801024,0.807180
74,0.800960,0.807140
75,0.800320,0.806017
76,0.799936,0.805537
77,0.802560,0.808062
78,0.800768,0.805977
79,0.802304,0.807070
80,0.800768,0.807079
81,0.799392,0.805536
82,0.799200,0.805817
83,0.800960,0.806839
84,0.799584,0.805847
85,0.800064,1.002667
86,0.811072,1.122824
87,0.801280,1.097386
88,0.855904,1.175052
89,0.802624,1.035910
90,0.802112,0.807130
91,0.800768,0.806459
92,0.799296,0.804945
93,0.800352,0.805095
94,0.800768,0.806468
95,0.801664,0.806469
96,0.800288,0.806118
97,0.800768,0.806278
98,0.801600,0.811187
99,0.802368,0.807410
100,0.801952,0.806839
