run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.3805,0.1576,0.0608,0.0603,0.1058,0.0878,0.0850,0.0277,0.9656,2.6667
2,0.3832,0.1534,0.0611,0.0613,0.1068,0.0868,0.0805,0.0252,0.9585,2.6593
3,0.3828,0.1576,0.0667,0.0612,0.1116,0.0890,0.0822,0.0284,0.9796,2.7043
4,0.3831,0.1530,0.0669,0.0646,0.1127,0.0878,0.0824,0.0282,0.9788,2.7303
5,0.3816,0.1588,0.0647,0.0612,0.1098,0.0857,0.0850,0.0292,0.9758,2.6748
6,0.3809,0.1561,0.0615,0.0654,0.1099,0.0885,0.0819,0.0278,0.9720,2.6906
7,0.3819,0.1529,0.0657,0.0667,0.1052,0.0885,0.0796,0.0277,0.9682,2.6982
8,0.3822,0.1550,0.0659,0.0643,0.1052,0.0882,0.0844,0.0282,0.9735,2.6786
9,0.3894,0.1548,0.0610,0.0648,0.1083,0.0892,0.0809,0.0241,0.9724,2.7347
10,0.3831,0.1525,0.0612,0.1105,0.1039,0.1999,0.0865,0.2076,1.3052,3.1391
11,0.5133,0.2047,0.1133,0.0645,0.1062,0.0889,0.0841,0.0246,1.1997,2.9407
12,0.3860,0.1532,0.0677,0.0622,0.1093,0.0838,0.0860,0.0291,0.9773,2.7338
13,0.3841,0.1577,0.0621,0.0663,0.1073,0.0895,0.0832,0.0293,0.9796,2.7001
14,0.3842,0.1591,0.0623,0.0620,0.1059,0.0837,0.0826,0.0280,0.9679,2.7476
15,0.3841,0.1606,0.0665,0.0680,0.1116,0.0892,0.0828,0.0305,0.9934,2.7907
16,0.3833,0.1559,0.2892,0.2278,0.3718,0.1835,0.1931,0.1936,1.9983,3.8858
17,0.5968,0.2075,0.0671,0.0624,0.1080,0.0851,0.0855,0.0268,1.2392,3.0030
18,0.3851,0.1542,0.0652,0.0628,0.1062,0.0839,0.0869,0.0307,0.9752,2.7518
19,0.3851,0.1577,0.0616,0.0631,0.1126,0.0882,0.0823,0.0273,0.9779,2.6409
20,0.3832,0.1553,0.0621,0.0617,0.1062,0.0892,0.0811,0.0258,0.9647,2.6319
21,0.3850,0.1549,0.0684,0.0638,0.1111,0.0898,0.0874,0.1507,1.1112,2.9376
22,0.4974,0.2071,0.1757,0.1130,0.2550,0.3636,0.1618,0.0303,1.8040,3.5321
23,0.3843,0.1564,0.0615,0.0646,0.1103,0.0868,0.0834,0.0281,0.9755,2.6281
24,0.3852,0.1556,0.0652,0.0629,0.1044,0.0892,0.0853,0.0261,0.9740,2.6509
25,0.3834,0.1565,0.0678,0.0621,0.1065,0.0890,0.0851,0.0279,0.9783,2.6392
26,0.3860,0.1553,0.0613,0.0604,0.1051,0.0859,0.0827,0.0283,0.9650,2.6191
27,0.3872,0.1584,0.0627,0.0635,0.1105,0.1995,0.3370,0.2260,1.5446,3.2720
28,0.5196,0.1563,0.1119,0.2009,0.2876,0.1689,0.0845,0.0289,1.5586,3.2480
29,0.3842,0.1543,0.0665,0.0611,0.1095,0.0884,0.0837,0.0269,0.9746,2.6480
30,0.3865,0.1573,0.0676,0.0619,0.1059,0.0895,0.0849,0.0281,0.9817,2.6478
31,0.3845,0.1564,0.0615,0.0612,0.1049,0.0863,0.0819,0.0252,0.9618,2.6296
32,0.3868,0.1564,0.0659,0.0621,0.1053,0.0856,0.0852,0.0305,0.9780,2.7217
33,0.3844,0.1564,0.0629,0.0610,0.2540,0.1688,0.0839,0.1426,1.3140,3.1466
34,0.3850,0.2273,0.1130,0.1140,0.3032,0.1655,0.0824,0.0272,1.4175,3.1588
35,0.3837,0.1538,0.0673,0.0618,0.1061,0.0861,0.0837,0.0283,0.9708,2.6583
36,0.3874,0.1558,0.0622,0.0660,0.1110,0.0885,0.0818,0.0282,0.9809,2.6499
37,0.3830,0.1558,0.0619,0.0613,0.1076,0.0894,0.0839,0.0271,0.9702,2.6250
38,0.3843,0.1552,0.0620,0.0614,0.1028,0.0883,0.0852,0.0257,0.9650,2.6821
39,0.3837,0.3284,0.1937,0.1129,0.2058,0.1805,0.0848,0.0268,1.5166,3.2592
40,0.3841,0.2674,0.1643,0.1133,0.1090,0.0892,0.0840,0.0264,1.2378,2.9304
41,0.3839,0.1567,0.0677,0.0609,0.1059,0.0883,0.0854,0.0271,0.9759,2.6573
42,0.3852,0.1555,0.0609,0.0616,0.1052,0.0880,0.0849,0.0270,0.9684,2.6294
43,0.3855,0.1595,0.0634,0.0634,0.1075,0.0836,0.0856,0.0308,0.9791,2.6989
44,0.3868,0.1564,0.0631,0.0628,0.1063,0.0837,0.0863,0.0292,0.9747,2.6787
45,0.3828,0.1563,0.3042,0.2327,0.3434,0.1883,0.0838,0.0286,1.7201,3.4881
46,0.3859,0.2487,0.1862,0.1137,0.1045,0.0883,0.0847,0.0275,1.2395,2.9703
47,0.3852,0.1623,0.0611,0.0679,0.1052,0.0878,0.0847,0.0278,0.9821,2.6608
48,0.3855,0.1548,0.0604,0.0663,0.1039,0.0876,0.0835,0.0284,0.9704,2.6467
49,0.3807,0.1563,0.0663,0.0617,0.1108,0.0908,0.0855,0.0308,0.9829,2.6950
50,0.3833,0.1548,0.0645,0.0667,0.1101,0.0883,0.0844,0.0254,0.9776,2.7503
51,0.3809,0.2044,0.1733,0.3332,0.1517,0.0882,0.0841,0.0283,1.4441,3.2155
52,0.5011,0.2774,0.1132,0.0644,0.1095,0.0847,0.0840,0.0259,1.2602,3.4007
53,0.3827,0.1535,0.0684,0.0675,0.1089,0.0840,0.0831,0.0271,0.9752,3.1802
54,0.3848,0.1530,0.0671,0.0638,0.1120,0.0896,0.0864,0.0266,0.9832,2.9284
55,0.3812,0.1602,0.0681,0.0611,0.1080,0.0902,0.0852,0.0328,0.9868,2.7709
56,0.3837,0.1574,0.0645,0.0618,0.2123,0.0887,0.1967,0.0247,1.1898,3.0839
57,0.6673,0.2539,0.1629,0.1119,0.1061,0.0847,0.0837,0.0288,1.4993,3.2400
58,0.3821,0.1564,0.0638,0.0645,0.1065,0.0916,0.0848,0.0272,0.9768,2.7792
59,0.3822,0.1606,0.0618,0.0635,0.1081,0.0868,0.0813,0.0293,0.9736,2.6835
60,0.3834,0.1529,0.0620,0.0631,0.1098,0.0870,0.0805,0.0318,0.9705,2.7358
61,0.3812,0.1602,0.0627,0.0676,0.1035,0.0887,0.0836,0.0286,0.9760,2.7126
62,0.3827,0.1570,0.0635,0.2226,0.3093,0.0903,0.2637,0.1267,1.6157,3.4815
63,0.3826,0.2857,0.1140,0.0663,0.1082,0.0900,0.0816,0.0262,1.1547,2.9369
64,0.3837,0.1548,0.0626,0.0627,0.1044,0.0860,0.0878,0.0296,0.9715,2.7381
65,0.3831,0.1517,0.0616,0.0671,0.1044,0.0838,0.0858,0.0316,0.9690,2.6899
66,0.3808,0.1524,0.0630,0.0647,0.1070,0.0860,0.0867,0.0306,0.9712,2.7156
67,0.3819,0.1597,0.0620,0.0657,0.1060,0.0839,0.0866,0.0275,0.9732,2.8028
68,0.3852,0.2047,0.1126,0.1641,0.3688,0.1792,0.1862,0.2036,1.8044,3.6272
69,0.5995,0.1591,0.0663,0.0680,0.1063,0.0916,0.0860,0.0310,1.2079,3.0681
70,0.3834,0.1577,0.0691,0.0620,0.1055,0.0901,0.0848,0.0261,0.9786,2.7784
71,0.3808,0.1519,0.0612,0.0631,0.1101,0.0855,0.0815,0.0294,0.9635,2.7334
72,0.3804,0.1551,0.0643,0.0617,0.1116,0.0831,0.0878,0.0286,0.9726,2.8438
73,0.3821,0.1546,0.0680,0.0622,0.1107,0.2055,0.0843,0.0257,1.0932,2.9008
74,0.3814,0.1564,0.0621,0.0679,0.1083,0.0886,0.0871,0.0313,0.9830,2.7892
75,0.3827,0.1522,0.0632,0.0607,0.1047,0.0862,0.0796,0.0248,0.9541,2.7003
76,0.3798,0.1587,0.0625,0.0624,0.1029,0.0896,0.0816,0.0265,0.9639,2.7147
77,0.3801,0.1599,0.0624,0.0640,0.1069,0.0897,0.0812,0.0305,0.9747,2.7347
78,0.3827,0.1568,0.0628,0.0630,0.1076,0.0850,0.0864,0.0310,0.9753,2.8009
79,0.3810,0.1583,0.0628,0.0613,0.1065,0.0888,0.0813,0.0273,0.9672,2.7779
80,0.3824,0.1560,0.0626,0.0680,0.1092,0.0885,0.0847,0.0292,0.9806,2.7647
81,0.3828,0.1564,0.0656,0.0618,0.1946,0.0781,0.1669,0.0292,1.1354,2.9721
82,0.3168,0.1314,0.0578,0.0572,0.1292,0.0745,0.0798,0.0281,0.8747,2.7796
83,0.4461,0.1326,0.0563,0.0551,0.1828,0.0757,0.0724,0.1985,1.2197,3.0835
84,0.3915,0.2274,0.3673,0.0556,0.0933,0.0751,0.2318,0.2053,1.6472,3.6048
85,0.3170,0.1656,0.0863,0.0524,0.0978,0.0805,0.0770,0.0291,0.9057,2.6781
86,0.3177,0.1366,0.0528,0.0567,0.0970,0.0789,0.0769,0.0237,0.8403,2.5170
87,0.3178,0.1318,0.0560,0.0524,0.0990,0.0763,0.0737,0.0284,0.8354,2.5240
88,0.3189,0.1326,0.0588,0.0571,0.0919,0.0776,0.0779,0.0275,0.8424,2.5126
89,0.3191,0.1366,0.0587,0.0569,0.0988,0.0747,0.0710,0.0279,0.8437,2.6013
90,0.3203,0.1355,0.0849,0.0860,0.1336,0.0776,0.2064,0.0235,1.0678,2.9440
91,0.6000,0.1784,0.0858,0.0860,0.1000,0.0756,0.0723,0.0249,1.2229,2.9760
92,0.3188,0.1352,0.0582,0.0544,0.0926,0.0769,0.0767,0.0241,0.8369,2.5161
93,0.3182,0.1345,0.0529,0.0568,0.0976,0.0742,0.0739,0.0268,0.8348,2.5297
94,0.3201,0.1321,0.0576,0.0538,0.0988,0.0748,0.0734,0.0241,0.8347,2.5211
95,0.3188,0.1314,0.0570,0.0530,0.0951,0.0794,0.0768,0.0234,0.8349,2.5788
96,0.3186,0.1316,0.0589,0.1632,0.1282,0.1879,0.1650,0.0949,1.2484,3.0491
97,0.4500,0.2644,0.1946,0.1427,0.1265,0.0774,0.0722,0.0302,1.3580,3.1846
98,0.3194,0.1324,0.0521,0.0544,0.0964,0.0735,0.0744,0.0263,0.8289,2.5252
99,0.3176,0.1346,0.0556,0.0554,0.0964,0.0787,0.0727,0.0270,0.8380,2.5395
100,0.3192,0.1340,0.0569,0.0561,0.0933,0.0780,0.0712,0.0238,0.8324,2.4986
