run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.517056,0.1336,0.05312,0.053152,0.09408,0.077728,0.07424,0.028608,1.03158,1.42266
2,0.320064,0.132768,0.053088,0.052864,0.09312,0.077696,0.074336,0.027104,0.83104,0.991739
3,0.320992,0.132864,0.051808,0.052288,0.09984,0.076576,0.073728,0.027264,0.83536,0.986158
4,0.32064,0.131232,0.0536,0.05168,0.094208,0.077248,0.075168,0.027584,0.83136,0.982212
5,0.321088,0.132192,0.053248,0.051424,0.094304,0.077824,0.074272,0.028288,0.83264,0.982181
6,0.32224,0.131072,0.053248,0.052608,0.09392,0.07808,0.074048,0.026624,0.83184,0.982892
7,0.320224,0.13744,0.053344,0.05264,0.094208,0.076896,0.074816,0.028672,0.83824,0.993753
8,0.321536,0.131776,0.053344,0.051872,0.093376,0.0776,0.073984,0.028032,0.83152,0.983724
9,0.321184,0.13312,0.053312,0.05216,0.09344,0.077632,0.073888,0.026944,0.83168,0.981971
10,0.32192,0.13184,0.05328,0.052128,0.094208,0.078176,0.075776,0.028096,0.835424,0.985558
11,0.321376,0.131552,0.053248,0.05152,0.094208,0.07744,0.073888,0.028672,0.831904,0.981419
12,0.320768,0.131264,0.053312,0.052064,0.09408,0.077952,0.074272,0.028064,0.831776,0.982281
13,0.321248,0.137664,0.053088,0.052864,0.092928,0.077824,0.073984,0.028928,0.838528,0.993703
14,0.32192,0.131552,0.053248,0.052928,0.093088,0.07792,0.073984,0.028672,0.833312,0.98706
15,0.321216,0.131424,0.054368,0.052192,0.093792,0.075968,0.265248,0.028512,1.02272,1.18078
16,0.322304,0.131296,0.05392,0.052352,0.095456,0.076256,0.076064,0.024576,0.832224,1.99668
17,0.550208,0.133376,0.059392,0.053248,0.094528,0.076864,0.075232,0.039552,1.0824,1.48272
18,0.32304,0.13232,0.053248,0.052928,0.094208,0.077888,0.073504,0.028512,0.835648,0.984335
19,0.321152,0.14064,0.053344,0.052544,0.095328,0.077728,0.074112,0.02896,0.843808,0.99778
20,0.320224,0.131072,0.053696,0.051712,0.094304,0.077152,0.075776,0.027264,0.8312,0.98164
21,0.320768,0.138336,0.055296,0.052512,0.094208,0.075904,0.074752,0.029728,0.841504,0.996439
22,0.323712,0.132512,0.053088,0.053216,0.094208,0.077984,0.07376,0.027168,0.835648,0.986179
23,0.320832,0.143232,0.055232,0.053056,0.093152,0.077344,0.074304,0.029248,0.8464,1.00475
24,0.322976,0.131456,0.05344,0.052832,0.093024,0.077312,0.07472,0.026848,0.832608,0.984615
25,0.320352,0.139072,0.054816,0.052032,0.094144,0.07648,0.073952,0.02912,0.839968,0.994975
26,0.322752,0.131168,0.053248,0.052672,0.094176,0.0784,0.074208,0.027136,0.83376,0.983593
27,0.3208,0.13872,0.054432,0.052512,0.094016,0.076832,0.073728,0.0288,0.83984,0.993963
28,0.32208,0.131072,0.053472,0.05296,0.094368,0.077536,0.074592,0.026784,0.832864,0.983193
29,0.321792,0.143616,0.054624,0.05312,0.092704,0.077184,0.075136,0.029312,0.847488,1.00347
30,0.320032,0.144768,0.057216,0.053248,0.093664,0.082272,0.080224,0.040608,0.872032,1.04869
31,0.31968,0.136,0.053248,0.052832,0.094016,0.076256,0.074944,0.02992,0.836896,0.994455
32,0.321248,0.12992,0.053248,0.0544,0.09584,0.0768,0.071808,0.040768,0.844032,1.60367
33,0.31984,0.132704,0.051808,0.051456,0.091104,0.384448,0.073248,0.033024,1.13763,2.45258
34,0.320736,0.13904,0.05312,0.054336,0.094208,0.078208,0.074016,0.035488,0.849152,1.01253
35,0.31856,0.132832,0.053248,0.052384,0.093952,0.077184,0.0736,0.028096,0.829856,0.980668
36,0.32224,0.13792,0.053312,0.051648,0.094208,0.077216,0.075648,0.02912,0.841312,0.994885
37,0.319104,0.138592,0.052128,0.052928,0.093184,0.07744,0.074304,0.028896,0.836576,0.991659
38,0.322784,0.137696,0.053248,0.053184,0.093696,0.07776,0.073728,0.036768,0.848864,1.00454
39,0.320768,0.139488,0.053248,0.052832,0.093184,0.077184,0.075008,0.036384,0.848096,1.00396
40,0.32272,0.137216,0.053248,0.05184,0.0944,0.075776,0.07536,0.0288,0.83936,0.996578
41,0.31984,0.139264,0.053568,0.052512,0.094208,0.077024,0.074784,0.030368,0.841568,0.995005
42,0.321376,0.139264,0.052896,0.051904,0.094208,0.078016,0.073984,0.030304,0.841952,0.998412
43,0.319488,0.139104,0.053248,0.052384,0.095232,0.077824,0.073728,0.029216,0.840224,0.994474
44,0.32048,0.141312,0.059392,0.052832,0.094592,0.076672,0.073728,0.030368,0.849376,1.01216
