run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.3776,0.1760,0.0777,0.0750,0.1196,0.0999,0.0985,0.3307,1.3550,1.5364
2,0.3824,0.1705,0.0774,0.0744,0.1203,0.0997,0.0975,0.0441,1.0662,1.2460
3,0.3806,0.1698,0.0779,0.0747,0.1198,0.0988,0.0980,0.0406,1.0600,1.2400
4,0.3812,0.1703,0.0773,0.0763,0.1200,0.0999,0.0977,0.0410,1.0637,1.2436
5,0.3833,0.1707,0.0774,0.0746,0.1230,0.1002,0.0986,0.0410,1.0688,1.2460
6,0.3755,0.1723,0.0774,0.0749,0.1198,0.0987,0.0977,0.0411,1.0574,1.2422
7,0.3760,0.1714,0.0768,0.0747,0.1194,0.0994,0.0973,0.0404,1.0555,1.2403
8,0.3764,0.1708,0.0772,0.0746,0.1188,0.0990,0.1024,0.0413,1.0605,1.2391
9,0.3796,0.1692,0.0773,0.0741,0.1204,0.1001,0.0978,0.0405,1.0589,1.2407
10,0.3792,0.1707,0.0782,0.0769,0.1190,0.0991,0.0975,0.0406,1.0612,1.2400
11,0.3764,0.1696,0.0774,0.0746,0.1190,0.0992,0.0976,0.0410,1.0548,1.2326
12,0.3803,0.1708,0.0772,0.0747,0.1199,0.0991,0.0977,0.0471,1.0668,1.2486
13,0.3753,0.1697,0.0767,0.0749,0.1200,0.1003,0.0981,0.0408,1.0558,1.2350
14,0.3764,0.1723,0.0774,0.0749,0.1215,0.1045,0.0984,0.0412,1.0667,1.2560
15,0.3806,0.1702,0.0812,0.0755,0.1196,0.1000,0.0973,0.0414,1.0656,1.2517
16,0.3770,0.1705,0.0812,0.0748,0.1201,0.0994,0.0979,0.0446,1.0655,1.2431
17,0.3752,0.1705,0.0772,0.0747,0.1208,0.1004,0.0991,0.0429,1.0608,1.2453
18,0.3822,0.1706,0.0778,0.0751,0.1235,0.0986,0.0977,0.0404,1.0660,1.2429
19,0.3761,0.1699,0.0778,0.0744,0.1196,0.1000,0.0983,0.0441,1.0603,1.2419
20,0.3753,0.1699,0.0772,0.0738,0.1206,0.0988,0.1018,0.0428,1.0603,1.2374
