run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.3762,0.1166,0.0246,0.0204,0.0663,0.0753,0.0739,0.0173,0.7706,1.6706
2,0.3734,0.1163,0.0255,0.0231,0.0681,0.0741,0.0813,0.0190,0.7808,1.6789
3,0.3732,0.1157,0.0282,0.0218,0.0673,0.0766,0.0734,0.0169,0.7731,1.6763
4,0.3723,0.1157,0.0248,0.0258,0.0672,0.0739,0.0721,0.0164,0.7683,1.6634
5,0.3714,0.1158,0.0252,0.0220,0.0700,0.0744,0.0728,0.0164,0.7681,1.6594
6,0.3738,0.1150,0.0242,0.0212,0.0697,0.0754,0.0712,0.0196,0.7701,1.6623
7,0.3719,0.1201,0.0252,0.0233,0.0668,0.0737,0.0731,0.0164,0.7705,1.6699
8,0.3720,0.1147,0.0254,0.0209,0.0668,0.0762,0.0734,0.0161,0.7653,1.6639
9,0.3717,0.1204,0.0302,0.0228,0.0678,0.0744,0.0720,0.0163,0.7756,1.6708
10,0.3757,0.1158,0.0240,0.0212,0.0672,0.0744,0.0749,0.0196,0.7728,1.6649
11,0.3716,0.1141,0.0261,0.0228,0.0669,0.0743,0.0737,0.0163,0.7658,1.6580
12,0.3717,0.1150,0.0244,0.0217,0.0700,0.0803,0.0722,0.0163,0.7715,1.6744
13,0.3721,0.1151,0.0243,0.0229,0.0661,0.0803,0.0721,0.0158,0.7687,1.6656
14,0.3752,0.1166,0.0252,0.0230,0.0667,0.0757,0.0722,0.0165,0.7712,1.6685
15,0.3749,0.1158,0.0249,0.0235,0.0665,0.0728,0.0736,0.0163,0.7683,1.6606
16,0.3724,0.1161,0.0315,0.0236,0.0666,0.0743,0.0716,0.0158,0.7719,1.6639
17,0.3715,0.1162,0.0241,0.0212,0.0650,0.0777,0.0739,0.0168,0.7663,1.6603
18,0.3711,0.1148,0.0292,0.0228,0.0693,0.0736,0.0719,0.0160,0.7688,1.6630
19,0.3764,0.1192,0.0248,0.0213,0.0660,0.0744,0.0723,0.0158,0.7702,1.6608
20,0.3716,0.1163,0.0249,0.0214,0.0663,0.0748,0.0766,0.0164,0.7683,1.6582
