token,latency_ms,tokens_per_sec
0,33.485454,29.863713
1,3.107683,321.783142
2,3.079750,324.701680
3,3.071926,325.528675
4,3.477579,287.556372
5,3.989714,250.644532
6,3.075061,325.196801
7,3.073428,325.369587
8,3.067707,325.976373
9,3.522203,283.913221
10,4.106914,243.491829
11,3.069511,325.784791
12,3.076444,325.050610
13,3.070613,325.667872
14,3.534727,282.907280
15,4.168701,239.882880
16,3.069250,325.812495
17,3.072336,325.485233
18,3.070072,325.725260
19,3.545597,282.039950
20,4.211963,237.418990
21,3.244851,308.180561
22,3.072246,325.494768
23,3.080211,324.653084
24,3.556348,281.187330
25,4.120971,242.661256
26,3.083467,324.310265
27,3.074750,325.229693
28,3.072607,325.456526
29,3.331985,300.121399
30,3.699317,270.320170
31,3.038553,329.104018
32,2.895222,345.396657
33,2.900081,344.817955
34,3.263436,306.425498
35,3.885637,257.358060
36,2.886186,346.478016
37,2.889542,346.075606
38,2.892588,345.711176
39,3.246664,308.008467
40,3.732289,267.932092
41,3.376439,296.170018
42,2.894601,345.470757
43,2.897717,345.099263
44,2.883480,346.803168
45,3.867273,258.580142
46,3.230784,309.522395
47,2.898629,344.990684
48,2.897347,345.143333
49,2.895853,345.321396
50,3.297460,303.263724
51,3.730817,268.037805
52,3.042861,328.638081
53,2.900222,344.801191
54,2.899481,344.889310
55,3.253647,307.347417
56,3.828551,261.195424
57,3.362844,297.367347
58,2.894521,345.480306
59,2.886997,346.380686
60,3.352264,298.305861
61,3.836385,260.662056
62,2.901685,344.627346
63,2.896725,345.217444
64,2.895113,345.409661
65,3.117120,320.808952
66,3.759861,265.967279
67,3.211919,311.340354
68,2.907596,343.926735
69,2.904670,344.273188
70,2.901424,344.658347
71,3.835363,260.731514
72,3.414651,292.855697
73,3.122371,320.269436
74,2.892227,345.754327
75,2.900934,344.716564
76,3.344448,299.003004
77,3.898322,256.520626
78,2.906133,344.099874
79,2.899752,344.857077
80,2.895293,345.388187
81,3.387450,295.207309
82,3.749161,266.726342
83,3.085371,324.110131
84,2.894361,345.499404
85,2.898339,345.025202
86,3.271922,305.630758
87,3.719024,268.887751
88,3.341614,299.256587
89,2.897798,345.089616
90,2.903639,344.395429
91,3.267423,306.051589
92,3.784968,264.203026
93,2.901565,344.641599
94,2.904410,344.304007
95,2.892357,345.738787
96,2.904910,344.244744
97,3.817650,261.941247
98,3.394192,294.620929
99,2.913177,343.267848
100,2.913177,343.267848
101,2.911744,343.436786
102,3.260841,306.669353
